,feature: 0,feature: 1,feature: 2,feature: 3,feature: 4,feature: 5,feature: 6,feature: 7,feature: 8,feature: 9,feature: 10,feature: 11,feature: 12,feature: 13,feature: 14,feature: 15,feature: 16,feature: 17,feature: 18
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,15,20,23,19,17,20,17,13,8,11,21,16,11,15,12,10,11,8,9
1,31,53,10,54,8,10,10,47,17,11,9,20,59,28,21,13,46,10,15
2,13,7,20,18,14,18,8,7,11,12,13,17,13,14,10,11,13,11,15
3,16,18,13,21,10,11,19,26,18,12,9,13,11,11,13,14,14,13,19
4,19,21,22,27,29,22,11,19,16,16,11,16,21,26,11,18,12,31,10
5,17,15,22,24,12,6,23,14,19,24,24,24,23,27,25,23,26,23,25
6,26,22,33,20,29,38,31,20,33,41,33,39,32,25,20,34,39,31,21
7,23,29,13,37,11,13,22,24,11,18,19,16,18,8,12,18,12,13,12
8,15,16,11,16,14,15,12,13,15,24,14,29,17,18,9,28,7,27,10
9,13,7,16,15,5,13,6,9,13,15,10,11,10,13,10,12,11,13,11
