Random seed 1,Test set partition 9
Train track nr,Class train,Test track nr,Class test
855,2(country)
,,926,5(jazz)
,,669,9(rock)
,,931,5(jazz)
,,992,5(jazz)

693,9(rock)
,,895,2(country)
,,696,9(rock)
,,596,1(classical)
,,862,2(country)

657,9(rock)
,,687,9(rock)
,,669,9(rock)
,,931,5(jazz)
,,836,2(country)

868,2(country)
,,621,9(rock)
,,889,2(country)
,,926,5(jazz)
,,808,2(country)
,,687,9(rock)
,,52,7(pop)
,,992,5(jazz)
,,609,9(rock)

563,1(classical)
,,548,1(classical)
,,599,1(classical)
,,556,1(classical)
,,581,1(classical)

689,9(rock)
,,895,2(country)
,,144,6(metal)
,,696,9(rock)
,,669,9(rock)
,,216,3(disco)
,,931,5(jazz)
,,692,9(rock)
,,836,2(country)

85,7(pop)
,,895,2(country)
,,621,9(rock)
,,52,7(pop)
,,877,2(country)
,,669,9(rock)

861,2(country)
,,863,2(country)
,,999,5(jazz)
,,803,2(country)
,,918,5(jazz)
,,980,5(jazz)

101,6(metal)
,,143,6(metal)
,,144,6(metal)
,,147,6(metal)
,,125,6(metal)
,,107,6(metal)
,,155,6(metal)

626,9(rock)
,,669,9(rock)
,,216,3(disco)
,,931,5(jazz)
,,692,9(rock)
,,155,6(metal)

898,2(country)
,,863,2(country)
,,889,2(country)
,,803,2(country)
,,918,5(jazz)

804,2(country)
,,895,2(country)
,,621,9(rock)
,,52,7(pop)
,,877,2(country)

579,1(classical)
,,548,1(classical)
,,599,1(classical)
,,556,1(classical)
,,581,1(classical)

118,6(metal)
,,143,6(metal)
,,956,5(jazz)
,,147,6(metal)
,,692,9(rock)
,,155,6(metal)

963,5(jazz)
,,895,2(country)
,,621,9(rock)
,,52,7(pop)
,,931,5(jazz)

408,8(reggae)
,,548,1(classical)
,,864,2(country)
,,862,2(country)
,,581,1(classical)

958,5(jazz)
,,863,2(country)
,,950,5(jazz)
,,926,5(jazz)
,,992,5(jazz)

682,9(rock)
,,895,2(country)
,,669,9(rock)
,,216,3(disco)
,,692,9(rock)

54,7(pop)
,,895,2(country)
,,696,9(rock)
,,687,9(rock)
,,599,1(classical)
,,931,5(jazz)
,,862,2(country)

462,8(reggae)
,,621,9(rock)
,,926,5(jazz)
,,323,0(blues)
,,992,5(jazz)

624,9(rock)
,,895,2(country)
,,621,9(rock)
,,52,7(pop)
,,877,2(country)
,,669,9(rock)

835,2(country)
,,669,9(rock)
,,692,9(rock)
,,155,6(metal)
,,836,2(country)

818,2(country)
,,895,2(country)
,,696,9(rock)
,,669,9(rock)
,,931,5(jazz)

899,2(country)
,,863,2(country)
,,889,2(country)
,,926,5(jazz)
,,803,2(country)
,,980,5(jazz)

139,6(metal)
,,143,6(metal)
,,144,6(metal)
,,692,9(rock)
,,155,6(metal)

244,3(disco)
,,669,9(rock)
,,931,5(jazz)
,,692,9(rock)
,,155,6(metal)

299,3(disco)
,,284,3(disco)
,,877,2(country)
,,788,4(hiphop)
,,280,3(disco)

154,6(metal)
,,895,2(country)
,,621,9(rock)
,,669,9(rock)
,,931,5(jazz)

697,9(rock)
,,696,9(rock)
,,596,1(classical)
,,931,5(jazz)
,,862,2(country)

806,2(country)
,,621,9(rock)
,,484,8(reggae)
,,803,2(country)
,,918,5(jazz)

