Random seed 1,Test set partition 3
Train track nr,Class train,Test track nr,Class test
880,2(country)
,,823,2(country)
,,898,2(country)
,,800,2(country)
,,882,2(country)

816,2(country)
,,823,2(country)
,,940,5(jazz)
,,547,1(classical)
,,809,2(country)
,,800,2(country)
,,910,5(jazz)
,,976,5(jazz)
,,882,2(country)

177,6(metal)
,,681,9(rock)
,,626,9(rock)
,,274,3(disco)
,,684,9(rock)
,,611,9(rock)

868,2(country)
,,637,9(rock)
,,809,2(country)
,,910,5(jazz)
,,976,5(jazz)

598,1(classical)
,,560,1(classical)
,,547,1(classical)
,,545,1(classical)
,,579,1(classical)

689,9(rock)
,,703,4(hiphop)
,,387,0(blues)
,,831,2(country)
,,681,9(rock)
,,626,9(rock)
,,804,2(country)
,,611,9(rock)

85,7(pop)
,,387,0(blues)
,,626,9(rock)
,,970,5(jazz)
,,804,2(country)

522,1(classical)
,,823,2(country)
,,547,1(classical)
,,579,1(classical)
,,976,5(jazz)

578,1(classical)
,,587,1(classical)
,,547,1(classical)
,,545,1(classical)
,,579,1(classical)

682,9(rock)
,,703,4(hiphop)
,,387,0(blues)
,,626,9(rock)
,,283,3(disco)
,,611,9(rock)

812,2(country)
,,823,2(country)
,,547,1(classical)
,,800,2(country)
,,976,5(jazz)

624,9(rock)
,,703,4(hiphop)
,,387,0(blues)
,,626,9(rock)
,,804,2(country)

612,9(rock)
,,681,9(rock)
,,626,9(rock)
,,274,3(disco)
,,684,9(rock)
,,611,9(rock)

883,2(country)
,,823,2(country)
,,898,2(country)
,,800,2(country)
,,882,2(country)

244,3(disco)
,,831,2(country)
,,626,9(rock)
,,684,9(rock)
,,611,9(rock)

842,2(country)
,,41,7(pop)
,,898,2(country)
,,800,2(country)
,,882,2(country)
,,858,2(country)

616,9(rock)
,,823,2(country)
,,898,2(country)
,,800,2(country)
,,804,2(country)

955,5(jazz)
,,587,1(classical)
,,823,2(country)
,,547,1(classical)
,,579,1(classical)
,,882,2(country)

895,2(country)
,,703,4(hiphop)
,,831,2(country)
,,970,5(jazz)
,,804,2(country)

621,9(rock)
,,637,9(rock)
,,41,7(pop)
,,656,9(rock)
,,804,2(country)

889,2(country)
,,898,2(country)
,,809,2(country)
,,800,2(country)
,,910,5(jazz)

155,6(metal)
,,101,6(metal)
,,626,9(rock)
,,684,9(rock)
,,611,9(rock)

