Track,,Nearest Neighbor,,Distance
Track nr,Class,Track nr,Class,Distance
0,7(pop),95,7(pop),1.459401839649132
1,7(pop),310,0(blues),2.4621539763461415
2,7(pop),66,7(pop),3.3697989692395525
3,7(pop),95,7(pop),2.1997287948357687
4,7(pop),9,7(pop),0.27623016348999013
5,7(pop),87,7(pop),1.7934760601742703
6,7(pop),14,7(pop),1.6225980378106706
7,7(pop),22,7(pop),2.656736664511415
8,7(pop),50,7(pop),2.4960770546628996
9,7(pop),4,7(pop),0.27623016348999013
10,7(pop),647,9(rock),2.0494334571460713
11,7(pop),4,7(pop),1.587084176137168
12,7(pop),26,7(pop),2.3044316900982698
13,7(pop),65,7(pop),1.965667952228918
14,7(pop),6,7(pop),1.6225980378106706
15,7(pop),88,7(pop),1.6356501841109294
16,7(pop),94,7(pop),0.21913306751451406
17,7(pop),789,4(hiphop),2.136829987112062
18,7(pop),87,7(pop),2.025259651642081
19,7(pop),70,7(pop),2.742662062112862
20,7(pop),762,4(hiphop),2.6759602089537955
21,7(pop),17,7(pop),2.1602837215480974
22,7(pop),71,7(pop),1.9862365653169871
23,7(pop),32,7(pop),0.23785835299929203
24,7(pop),90,7(pop),1.8111088136370692
25,7(pop),87,7(pop),1.4431730271435501
26,7(pop),677,9(rock),2.165252898037741
27,7(pop),607,9(rock),2.485558294315821
28,7(pop),86,7(pop),3.031649174742738
29,7(pop),36,7(pop),0.7587570819338897
30,7(pop),34,7(pop),3.8041954684753945
31,7(pop),42,7(pop),0.49932031441553437
32,7(pop),23,7(pop),0.23785835299929203
33,7(pop),426,8(reggae),3.5712303749054737
34,7(pop),30,7(pop),3.8041954684753945
35,7(pop),57,7(pop),3.084477788075503
36,7(pop),29,7(pop),0.7587570819338897
37,7(pop),45,7(pop),0.3810106629537918
38,7(pop),58,7(pop),0.43964660764355407
39,7(pop),94,7(pop),1.5818696997249206
40,7(pop),63,7(pop),1.4846198891379403
41,7(pop),806,2(country),1.4648533146883684
42,7(pop),31,7(pop),0.49932031441553437
43,7(pop),645,9(rock),1.143489680823728
44,7(pop),423,8(reggae),2.0419045864081653
45,7(pop),37,7(pop),0.3810106629537918
46,7(pop),299,3(disco),1.7187706546122372
47,7(pop),435,8(reggae),1.9078270372527164
48,7(pop),759,4(hiphop),3.6937171737982775
49,7(pop),876,2(country),1.7374622228927619
50,7(pop),40,7(pop),1.604573861755209
51,7(pop),38,7(pop),2.510379869531797
52,7(pop),621,9(rock),1.5758062980410978
53,7(pop),75,7(pop),0.0034155212746432673
54,7(pop),687,9(rock),1.1726963175159089
55,7(pop),22,7(pop),3.7038566805617585
56,7(pop),788,4(hiphop),1.9023326331021653
57,7(pop),66,7(pop),0.00032164483047888244
58,7(pop),38,7(pop),0.43964660764355407
59,7(pop),71,7(pop),2.570525587580591
60,7(pop),762,4(hiphop),2.5623834324901904
61,7(pop),709,4(hiphop),3.5540072917512546
62,7(pop),216,3(disco),1.6782927857838132
63,7(pop),95,7(pop),1.4396564461200958
64,7(pop),95,7(pop),2.062409021502206
65,7(pop),13,7(pop),1.965667952228918
66,7(pop),57,7(pop),0.00032164483047888244
67,7(pop),32,7(pop),1.5609851015938514
68,7(pop),70,7(pop),3.583466811971586
69,7(pop),643,9(rock),1.570875498257595
70,7(pop),71,7(pop),2.102560926276433
71,7(pop),22,7(pop),1.9862365653169871
72,7(pop),325,0(blues),2.1308064149573847
73,7(pop),5,7(pop),1.8282461407836184
74,7(pop),254,3(disco),2.8217926162328584
75,7(pop),53,7(pop),0.0034155212746432673
76,7(pop),71,7(pop),3.3806464997854757
77,7(pop),98,7(pop),2.1948106714860414
78,7(pop),21,7(pop),2.2521907294423347
79,7(pop),806,2(country),2.01088347713554
80,7(pop),600,9(rock),2.232231493432954
81,7(pop),682,9(rock),1.0781769612216825
82,7(pop),605,9(rock),2.027031995126061
83,7(pop),215,3(disco),2.446599089313487
84,7(pop),526,1(classical),2.1664842679808625
85,7(pop),624,9(rock),1.0580841154195555
86,7(pop),67,7(pop),2.3261303442431993
87,7(pop),25,7(pop),1.4431730271435501
88,7(pop),15,7(pop),1.6356501841109294
89,7(pop),642,9(rock),1.5055497107594507
90,7(pop),95,7(pop),1.6008495166116514
91,7(pop),214,3(disco),1.2536565298133542
92,7(pop),6,7(pop),2.121343196379997
93,7(pop),70,7(pop),2.9557310525132583
94,7(pop),16,7(pop),0.21913306751451406
95,7(pop),63,7(pop),1.4396564461200958
96,7(pop),292,3(disco),1.3577084752549373
97,7(pop),678,9(rock),1.380147104018248
98,7(pop),73,7(pop),1.9916928147806428
99,7(pop),50,7(pop),1.9675326311846733
100,6(metal),376,0(blues),2.432345960041333
101,6(metal),135,6(metal),1.3033732495148607
102,6(metal),131,6(metal),1.2707014118025486
103,6(metal),147,6(metal),2.048806167559285
104,6(metal),154,6(metal),2.082937192735459
105,6(metal),187,6(metal),1.3804040271374154
106,6(metal),119,6(metal),1.677434367087978
107,6(metal),181,6(metal),0.7266963297525953
108,6(metal),137,6(metal),0.0009473769543078113
109,6(metal),241,3(disco),2.282081323244275
110,6(metal),167,6(metal),1.5266619679257432
111,6(metal),169,6(metal),1.312951064431787
112,6(metal),660,9(rock),1.866150674286439
113,6(metal),181,6(metal),0.9344867200389282
114,6(metal),147,6(metal),1.82372010285125
115,6(metal),139,6(metal),1.3440592322104783
116,6(metal),123,6(metal),1.4985659497361485
117,6(metal),169,6(metal),1.5602884273416735
118,6(metal),120,6(metal),1.1757756261309877
119,6(metal),185,6(metal),1.653288759552672
120,6(metal),118,6(metal),1.1757756261309877
121,6(metal),785,4(hiphop),1.6080165838073979
122,6(metal),625,9(rock),1.7798016139670496
123,6(metal),165,6(metal),0.0004907292004162308
124,6(metal),161,6(metal),0.896502685833919
125,6(metal),161,6(metal),0.7760167692053779
126,6(metal),160,6(metal),0.000357823431818586
127,6(metal),725,4(hiphop),2.2726750239520865
128,6(metal),230,3(disco),1.8354330824142437
129,6(metal),107,6(metal),1.9879309200106594
130,6(metal),120,6(metal),1.5442142442757836
131,6(metal),102,6(metal),1.2707014118025486
132,6(metal),124,6(metal),1.072850254713782
133,6(metal),164,6(metal),0.0006284838397364666
134,6(metal),179,6(metal),0.0014871018532737216
135,6(metal),101,6(metal),1.3033732495148607
136,6(metal),732,4(hiphop),1.6687775885967295
137,6(metal),108,6(metal),0.0009473769543078113
138,6(metal),978,5(jazz),1.9348939407465517
139,6(metal),611,9(rock),1.2463318643083958
140,6(metal),149,6(metal),0.9517700933099541
141,6(metal),149,6(metal),0.7468431440351188
142,6(metal),156,6(metal),0.9391156481809617
143,6(metal),141,6(metal),1.4136146020986824
144,6(metal),139,6(metal),1.6370499942977037
145,6(metal),626,9(rock),1.2994973864939852
146,6(metal),194,6(metal),1.8770157018215232
147,6(metal),187,6(metal),1.375859768969672
148,6(metal),174,6(metal),0.0011087661243466362
149,6(metal),161,6(metal),0.6792027219830284
150,6(metal),172,6(metal),1.478346272203444
151,6(metal),136,6(metal),1.8555175639510373
152,6(metal),124,6(metal),1.3774073213767264
153,6(metal),170,6(metal),0.0023161224316595327
154,6(metal),855,2(country),1.448891724962341
155,6(metal),163,6(metal),1.2054243336736425
156,6(metal),142,6(metal),0.9391156481809617
157,6(metal),683,9(rock),1.3261468391447653
158,6(metal),147,6(metal),2.0192030564851238
159,6(metal),963,5(jazz),1.4049773276129154
160,6(metal),126,6(metal),0.000357823431818586
161,6(metal),149,6(metal),0.6792027219830284
162,6(metal),321,0(blues),1.9931626626438395
163,6(metal),142,6(metal),1.0831862013566067
164,6(metal),133,6(metal),0.0006284838397364666
165,6(metal),123,6(metal),0.0004907292004162308
166,6(metal),199,6(metal),1.341920586372296
167,6(metal),110,6(metal),1.5266619679257432
168,6(metal),299,3(disco),1.681423270234218
169,6(metal),111,6(metal),1.312951064431787
170,6(metal),153,6(metal),0.0023161224316595327
171,6(metal),785,4(hiphop),1.4981351375316263
172,6(metal),169,6(metal),1.3526057594391625
173,6(metal),168,6(metal),1.759506243728491
174,6(metal),148,6(metal),0.0011087661243466362
175,6(metal),276,3(disco),1.9051342267760902
176,6(metal),177,6(metal),1.0106364064223095
177,6(metal),612,9(rock),0.0007379990538940712
178,6(metal),685,9(rock),2.897092256314143
179,6(metal),134,6(metal),0.0014871018532737216
180,6(metal),126,6(metal),1.3282667409393831
181,6(metal),107,6(metal),0.7266963297525953
182,6(metal),838,2(country),2.5755463268875785
183,6(metal),612,9(rock),1.609747407433938
184,6(metal),156,6(metal),1.5394895921031237
185,6(metal),119,6(metal),1.653288759552672
186,6(metal),187,6(metal),1.6215973988141517
187,6(metal),147,6(metal),1.375859768969672
188,6(metal),195,6(metal),1.5981984664926192
189,6(metal),286,3(disco),2.1339462483071334
190,6(metal),142,6(metal),2.336944820773863
191,6(metal),107,6(metal),1.550617033037935
192,6(metal),663,9(rock),1.892822524274852
193,6(metal),173,6(metal),3.036158921192982
194,6(metal),198,6(metal),1.5972432931491272
195,6(metal),188,6(metal),1.5981984664926192
196,6(metal),194,6(metal),1.6859375949906694
197,6(metal),198,6(metal),1.5173839454624052
198,6(metal),197,6(metal),1.5173839454624052
199,6(metal),166,6(metal),1.341920586372296
200,3(disco),250,3(disco),1.851556268787397
201,3(disco),461,8(reggae),1.8144383207568957
202,3(disco),287,3(disco),1.8763947917402706
203,3(disco),719,4(hiphop),3.817634160340192
204,3(disco),746,4(hiphop),4.489433958449606
205,3(disco),262,3(disco),2.438843078046563
206,3(disco),550,1(classical),2.057433154643508
207,3(disco),739,4(hiphop),3.893891404045141
208,3(disco),217,3(disco),2.2585532090039275
209,3(disco),283,3(disco),1.1896574226198666
210,3(disco),284,3(disco),1.9124484279029317
211,3(disco),441,8(reggae),1.7436791195794374
212,3(disco),284,3(disco),1.7272564597242877
213,3(disco),299,3(disco),1.6960046908106803
214,3(disco),91,7(pop),1.2536565298133542
215,3(disco),284,3(disco),1.7627277800904606
216,3(disco),283,3(disco),1.5051079146091915
217,3(disco),461,8(reggae),1.8119493438094636
218,3(disco),136,6(metal),1.8310632330632954
219,3(disco),240,3(disco),2.052107633956253
220,3(disco),758,4(hiphop),2.705600994988116
221,3(disco),790,4(hiphop),1.7462052429016897
222,3(disco),136,6(metal),1.9131000452292615
223,3(disco),212,3(disco),1.8394783301585715
224,3(disco),31,7(pop),2.074516271677909
